113211	,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150319	,1596,1,0,0.03396991581148824,0.01685122455298639,0.07139793495572992,-0.010423692918016758,0.02054135507142879,0.6258706696593652,4.4763186248449705,0.2590397071002053,-0.006882542193847652,0.14985740769014125,2717.507,442.0,0.13562376439561621,0.036513173339537235,0.13133045150148617,-0.041578368906737675,0.030585106863793097,1.2977336304651195,9.832325330440757,0.4785404820954959,-0.012933654443561843,0.2758691963286285,1633.352,271.0,-0.018347710455344758,0.01566998645014034,0.060277595005430916,0.003192540430592135,0.014801789259426502,0.4189480115488806,2.8990409583140493,0.21436294628277763,-0.005968118681102325,0.12627578271250076,2696.6849999999995,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3528694301988601,0.29856567942371126,0.7356348428655809,0.12823228729714198,0.03637512774302917,3.3245762292480454,24.75831103281096,2.4074320378221588,-0.06621709985380375,1.5394879975756433,827.6019999999999,129.0,0.09813847477401852,0.041044199940876415,0.12776232531137743,-0.03575618361467392,0.02657583051788301,1.2450842201046857,8.09978871634291,0.43740038285462013,-0.012624220739845123,0.26799107294258334,1981.266,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346862	,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400113	,141,1,0,-0.6517794841269842,0.20785005668934242,1.2360603061224489,0.15728772828798185,0.49576869268707474,8.470581893877553,101.60952878390022,4.7285298185941045,0.11795214019274375,2.6023809523809525,154.015,25.0,-0.6595246913580247,0.11834606481481481,0.47717727623456785,0.17742186149691355,0.14262728202160493,2.5967838599537036,44.692004917052465,1.8346062885802468,0.04664664544753086,1.0069444444444446,222.28299999999996,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18404467303896865,0.11711412863756615,0.2705919607426304,-0.07454958701748446,-7.42527701667087E-4,3.047852573181086,13.13532667725655,0.8996682787698415,0.02613294528363043,0.568369708994709,301.844,48.0,-9.302678571428572,3.0321428571428575,11.019642857142857,2.9641696428571427,3.2856071428571427,64.21400892857143,797.0927678571428,39.10357142857142,1.120607142857143,23.214285714285715,42.155,7.0,0.6546970924666162,0.7723817283950618,1.379708873771731,-0.3399281868480725,-0.3613088192491811,18.419554488687325,79.76227316220711,4.509486308893927,0.1345947950617284,2.907936507936508,163.304,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408061	,3419,0,1,0.010878214565469464,0.004112604393173705,0.026111724595678405,-0.0024243939636810798,0.010488373047508284,0.21327023497915978,2.2181030733204863,0.10035586959124598,-0.001680927754062589,0.05489772747772346,9391.285999999998,1600.0,0.2293184409962105,0.04774979551439747,0.18429373646538647,-0.06406056166994717,0.05005153160494262,1.8049199010358967,15.627638397132376,0.6908592378340914,-0.013399863560324686,0.38811091077246357,2857.297,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07473191422488987,0.05336064546911432,0.1639950443164025,-0.02728874339139048,0.02339661288015751,1.5397633047531014,7.395297027527122,0.5695276198309148,-0.008844708594431526,0.34391110395866764,3663.1089999999995,602.0,-0.07755358415313088,0.06196514311770028,0.11506953077419604,0.04050849306376603,-0.02648648698353677,0.2856975625062901,8.23568564102083,0.37537690037380234,-0.008041525389523262,0.24167684866747555,4343.120000000001,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424324	,13813,1,0,-0.004574248301443729,6.339669433212262E-4,0.003912287187159513,8.070437915326838E-4,0.001709669150601298,0.02543088272690305,0.3770556537611093,0.014967269068862131,1.821772499709467E-4,0.008221221472890606,23415.753999999997,3655.0,-0.00404612421671217,5.211390676517063E-4,0.0024968667177934305,8.539371705680273E-4,9.431281313439754E-4,0.01444681009420999,0.2531442010517147,0.009583932416191931,1.27447016603596E-4,0.005246933033727224,29239.532000000003,4604.0,0.0041095165807822215,0.002211391287951772,0.00850590006553669,-9.44317467744907E-4,0.0019114784296715476,0.07422644460453762,0.42619821077815845,0.030703511627658355,5.16789431424992E-4,0.017821788397841182,15575.797999999999,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9679981922839066,1.2309779506208078,2.993830574187717,-0.3474527080062795,-0.02064884995956423,33.80494241591742,82.38828773726273,10.002555420769704,0.18019529399172254,6.276580562294848,495.32399999999996,77.0,-0.018820389699065562,0.004338138490696182,0.015214382123671053,0.005629785362772896,0.004527325317866601,0.08220788722746146,1.3312938847852633,0.05379151993120357,8.331610614032467E-4,0.031945055697069485,11537.502999999997,1810.0,0.015527613288762074,0.020049482478359394,0.033390659049601,-0.009254811726136963,-0.011015864700904604,0.439139341808856,2.3537238362574504,0.10557132289229854,0.0018914380429186192,0.07014447648046424,8151.399,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433586	,3384,0,1,0.07244335373606915,0.010503381723068785,0.05682172358939943,-0.014415394787033096,0.018381068226663556,0.5218756487162226,4.989939484345868,0.2253176811548765,-0.004425809978036369,0.11940126690242207,6244.771,1056.0,0.054782896350874404,0.007845692142570342,0.033953334560390014,-0.013033823369750975,0.009848834112206254,0.3331815487226712,3.3421421161876954,0.13438178528536038,-0.0027874138297547613,0.07139632661571653,7986.244,1363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027193298263655515,0.04281954679125485,0.14697627876001693,0.0040627496873368715,0.017791612367628554,1.0015302991779735,4.628976042199303,0.5351828015103943,-0.012415815606398532,0.30822426396270575,3659.623,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12039460537082408,0.17827795541457495,0.347784751605977,0.05828457259959806,-0.1045337817084045,0.5695577389494958,20.92983909375705,1.1784829200428801,-0.030077087093041098,0.729026722163827,2126.5989999999997,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434378	,17199,0,1,0.001075662786795294,1.0499222309620927E-4,6.184308000948525E-4,-1.8848061815575072E-4,2.5472217368676433E-4,0.005621675790765583,0.06661857926942855,0.0024647230886497406,-5.2718558867659316E-5,0.0013007687718630423,60552.275,9414.0,0.11380946173859907,0.011779200671535765,0.05658342072696917,-0.023393716803852306,0.022673192452728048,0.5392245643496498,6.632046108860765,0.22443156651812166,-0.005005862456497096,0.11908366466635087,5038.571,804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005888180408964433,0.006987398330158319,0.020549347183172882,0.0014958484794558512,7.717738513879171E-4,0.1051580361946157,0.6751890130024375,0.07314712636024032,-0.0018443806892619436,0.04303682662389494,10027.692000000003,1560.0,0.00910771998837213,0.002112521984396089,0.007100336293600964,-0.002848693010278703,0.0017617361904731258,0.07079137901156518,0.6420011380212288,0.02547599800102803,-6.638849517805956E-4,0.014915458089052754,17323.338,2747.0,-0.003541882175445872,0.0036753428937567082,0.007003340606231271,0.0017832800910834105,-0.0019534136329351797,0.01338978324123028,0.45742109502256634,0.023353922410565955,-6.507678004747936E-4,0.01468374761592841,17492.802,2674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444520	,3662,1,0,-0.038445038188567926,0.0050625381806252015,0.029007311211269593,0.007463937877891059,0.013371812274158323,0.18422532904682465,2.9505633533341915,0.10879636102379579,0.00213631050642596,0.061015600654292096,11203.636,2000.0,-0.6329140754605337,0.10042352823390419,0.4109938675339471,0.15930039472065916,0.12795294737146526,2.2278522451781138,40.016893578894425,1.558415591249513,0.032530167147105694,0.8650397553767126,1399.1209999999996,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01334100603546432,0.02834418751211022,0.09329494301292124,-0.0016973003829251875,0.013508590599364127,0.7453740136603308,2.8332202631145478,0.3306012679461434,0.007205883141248973,0.19578943678389218,5748.803,1002.0,-0.31790855665238626,0.12590321810767402,0.41671408214141,0.10591957064016748,0.1555622099203677,2.5685087309237566,31.955582179357403,1.3474171086192128,0.030178120511125686,0.8758527704502522,1911.1909999999998,327.0,1.4955667344173442,1.3616278640059127,2.5560793606799708,-0.7408339338507021,-0.3949957310914018,31.785720612835675,137.42125399174674,8.120116223207685,0.23291472961320522,5.379018847006652,474.38999999999993,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445213	,478,0,1,0.7339944736975987,0.13319051071283214,0.6367635659231642,-0.16461613883801382,0.1816275303978429,5.948753573704321,49.72253070392447,2.4783170274252866,-0.020822543707119598,1.336433531746032,467.25399999999996,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15209561903497887,0.026607891506982898,0.10594950266356071,-0.038949569937411624,0.02486408756087377,1.056953615201001,9.339981679909293,0.41284115489031703,-0.003756115680637638,0.22243118890741387,1260.01,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14206417513073424,0.22240182767298708,0.5851475894328219,0.048706851865322406,-0.00904764384681882,2.2975520741701536,12.389807124683406,2.039816507217261,-0.02531556335416613,1.2283712888470986,715.4389999999999,122.0,1.7284556110869669,0.4749333381621518,1.5506801632140614,-0.55316225312666,0.28816647834274955,15.76654205574871,118.53901052947992,5.614099485730842,-0.06601128180984114,3.2556497175141246,334.86,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
